;IdSensore;NomeTipoSensore;UnitaMisura;Idstazione;NomeStazione;Quota;Provincia;Comune;Storico;DataStart;DataStop;Utm_Nord;UTM_Est;lat;lng;location;Valore;DATE_TIME
132;6202;Ossidi di Azoto;µg/m³;591;Seriate;256.0;BG;Seriate;S;31/10/1991;01/01/2017;5059449;555672;45.686356064399135;9.714947917631527;(45.68635606439914, 9.714947917631529);84.1;2016-11-14 11:00:00
13;6204;Ossidi di Azoto;µg/m³;592;Treviglio;191.0;BG;Treviglio;N;02/06/1991;;5040815;546236;45.51933498138716;9.592009994888423;(45.51933498138716, 9.592009994888425);98.6;2016-11-14 11:00:00
3;6206;Ossidi di Azoto;µg/m³;593;Ciserano;159.0;BG;Ciserano;S;30/11/1994;01/01/2017;5048846;547278;45.59154842950048;9.606127731575759;(45.591548429500484, 9.606127731575759);254.5;2016-11-14 11:00:00
100;6208;Ossidi di Azoto;µg/m³;595;Filago - via Don Milani;190.0;BG;Filago;N;06/03/1992;;5053519;543342;45.63386450908066;9.556084255790863;(45.63386450908066, 9.556084255790864);53.8;2016-11-14 11:00:00
28;6210;Ossidi di Azoto;µg/m³;594;Bergamo - via Goisis;290.0;BG;Bergamo;S;14/09/1996;01/01/2017;5062715;553620;45.715912469852206;9.688958745309764;(45.715912469852206, 9.688958745309764);42.6;2016-11-14 11:00:00
121;6212;Ossidi di Azoto;µg/m³;596;Osio Sotto;182.0;BG;Osio Sotto;N;06/04/2000;;5052072;547691;45.620555679395586;9.611737821812373;(45.62055567939559, 9.611737821812373);80.4;2016-11-14 11:00:00
120;6216;Ossidi di Azoto;µg/m³;597;Lallio;212.0;BG;Lallio;S;13/04/2000;01/01/2017;5056421;548190;45.65966391792854;9.618568761257565;(45.65966391792855, 9.618568761257565);48.6;2016-11-14 11:00:00
124;6218;Ossidi di Azoto;µg/m³;583;Bergamo - via Meucci;249.0;BG;Bergamo;N;01/06/1989;;5059922;550116;45.691037405472144;9.643650579461383;(45.69103740547214, 9.643650579461385);62.4;2016-11-14 11:00:00
67;6220;Ossidi di Azoto;µg/m³;584;Bergamo - via Garibaldi;249.0;BG;Bergamo;N;21/06/1994;;5060449;551482;45.69568034432694;9.66124914606551;(45.69568034432694, 9.66124914606551);145.3;2016-11-14 11:00:00
109;6224;Ossidi di Azoto;µg/m³;586;Costa Volpino;192.0;BG;Costa Volpino;S;26/07/1993;01/01/2017;5075429;585212;45.82715793876258;10.097061724186311;(45.82715793876258, 10.09706172418631);93.6;2016-11-14 11:00:00
151;6228;Ossidi di Azoto;µg/m³;588;Tavernola Bergamasca;191.0;BG;Tavernola Bergamasca;N;21/09/1990;;5063058;581311;45.71629992411727;10.044765999368435;(45.71629992411727, 10.044765999368437);51.4;2016-11-14 11:00:00
78;6230;Ossidi di Azoto;µg/m³;565;Cantù - via Meucci;369.0;CO;Cantù;N;01/07/1994;;5064150;509783;45.730836722674276;9.125734327022926;(45.73083672267427, 9.125734327022926);73.9;2016-11-14 11:00:00
25;6232;Ossidi di Azoto;µg/m³;561;Como - viale Cattaneo;202.0;CO;Como;N;01/01/1991;;5073500;505203;45.815042860112904;9.06697137484454;(45.81504286011291, 9.06697137484454);93.9;2016-11-14 11:00:00
105;6234;Ossidi di Azoto;µg/m³;564;Erba - via Battisti;279.0;CO;Erba;N;13/06/2009;;5072803;517232;45.80857380692297;9.221779204488437;(45.808573806922965, 9.221779204488435);112.3;2016-11-14 11:00:00
84;6236;Ossidi di Azoto;µg/m³;563;Fino Mornasco;304.0;CO;Fino Mornasco;S;09/01/1992;01/01/2017;5066055;503313;45.74804440954575;9.042592844183936;(45.74804440954574, 9.042592844183936);103.6;2016-11-14 11:00:00
125;6242;Ossidi di Azoto;µg/m³;577;Calolziocorte;215.0;LC;Calolziocorte;S;29/11/1994;01/01/2017;5072149;533373;45.802095505140926;9.429467320277876;(45.80209550514092, 9.429467320277878);147.3;2016-11-14 11:00:00
126;6246;Ossidi di Azoto;µg/m³;573;Colico;229.0;LC;Colico;N;06/11/1996;;5109468;529713;46.1381409051264;9.384687247651792;(46.1381409051264, 9.384687247651794);137.3;2016-11-14 11:00:00
134;6248;Ossidi di Azoto;µg/m³;574;Lecco - Via Amendola;214.0;LC;Lecco;N;01/01/1991;;5077479;530713;45.85019119457854;9.395577066893225;(45.850191194578535, 9.395577066893223);174.2;2016-11-14 11:00:00
108;6252;Ossidi di Azoto;µg/m³;576;Merate;279.0;LC;Merate;N;01/01/1991;;5060569;531623;45.697951989702425;9.406190938686596;(45.69795198970243, 9.406190938686596);202.9;2016-11-14 11:00:00
123;6254;Ossidi di Azoto;µg/m³;575;Nibionno;310.0;LC;Nibionno;S;08/01/1992;01/01/2017;5066429;520613;45.75111126161782;9.265020964805544;(45.751111261617815, 9.265020964805544);107.2;2016-11-14 11:00:00
153;6260;Ossidi di Azoto;µg/m³;607;Abbadia Cerreto;64.0;LO;Abbadia Cerreto;N;13/01/2000;;5017500;545920;45.309502269282255;9.585790416120414;(45.309502269282255, 9.585790416120414);17.6;2016-11-14 11:00:00
161;6262;Ossidi di Azoto;µg/m³;603;Castiraga;74.0;LO;Castiraga Vidardo;S;13/01/2000;;5012170;531404;45.262325199921534;9.400281323067924;(45.26232519992153, 9.400281323067924);33.2;2016-11-14 11:00:00
154;6268;Ossidi di Azoto;µg/m³;600;Lodi - viale Vignati;80.0;LO;Lodi;N;30/12/1999;;5017060;538042;45.30601298752377;9.48526286320174;(45.30601298752377, 9.48526286320174);41.3;2016-11-14 11:00:00
162;6270;Ossidi di Azoto;µg/m³;602;Melegnano;83.0;MI;Melegnano;S;13/01/2000;;5022361;525789;45.35428575070997;9.329243424113708;(45.35428575070997, 9.329243424113708);46.2;2016-11-14 11:00:00
102;6272;Ossidi di Azoto;µg/m³;601;Montanaso;84.0;LO;Montanaso Lombardo;S;13/01/2000;01/01/2017;5020391;535459;45.33613100905199;9.45255388178171;(45.33613100905199, 9.45255388178171);24.8;2016-11-14 11:00:00
88;6274;Ossidi di Azoto;µg/m³;598;S.Rocco al Porto;50.0;LO;San Rocco al Porto;N;24/01/2002;;4992297;555154;45.08198669697864;9.70078817718398;(45.081986696978625, 9.70078817718398);23.5;2016-11-14 11:00:00
56;6276;Ossidi di Azoto;µg/m³;606;S.Giuliano Milanese;97.0;MI;San Giuliano Milanese;N;13/01/2000;;5027003;522127;45.39619462552717;9.282700075557843;(45.39619462552717, 9.282700075557845);60.3;2016-11-14 11:00:00
8;6280;Ossidi di Azoto;µg/m³;604;Tavazzano;85.0;LO;Tavazzano con Villavesco;N;13/01/2000;;5019734;532492;45.33036100181228;9.414644726627262;(45.33036100181227, 9.414644726627262);24.5;2016-11-14 11:00:00
50;6284;Ossidi di Azoto;µg/m³;511;Abbiategrasso;118.0;MI;Abbiategrasso;S;23/01/1998;01/01/2017;5026880;493223;45.39540449014618;8.913416566778293;(45.395404490146184, 8.913416566778292);45.0;2016-11-14 11:00:00
145;6288;Ossidi di Azoto;µg/m³;551;Arconate (aria);182.0;MI;Arconate;N;20/01/1999;;5043898;488082;45.54851735741946;8.847321929216262;(45.54851735741946, 8.847321929216262);67.3;2016-11-14 11:00:00
152;6290;Ossidi di Azoto;µg/m³;536;Arese;157.0;MI;Arese;S;22/10/1991;01/01/2017;5043325;506302;45.543433254501636;9.080725831284644;(45.543433254501636, 9.080725831284644);116.5;2016-11-14 11:00:00
58;6292;Ossidi di Azoto;µg/m³;527;Castano Primo;175.0;MI;Castano Primo;S;01/01/1990;01/01/2017;5043625;482522;45.54594268367404;8.776104584370271;(45.54594268367404, 8.776104584370271);39.1;2016-11-14 11:00:00
16;6294;Ossidi di Azoto;µg/m³;512;Carate Brianza;250.0;MB;Carate Brianza;S;27/10/1994;01/01/2017;5057635;518272;45.67202473407846;9.234591661788047;(45.672024734078455, 9.234591661788048);178.0;2016-11-14 11:00:00
107;6296;Ossidi di Azoto;µg/m³;508;Cassano d`Adda - Via di Vona;133.0;MI;Cassano d'Adda;S;14/12/1984;01/01/2018;5040847;540004;45.520008670321644;9.512220968943543;(45.52000867032165, 9.512220968943545);92.8;2016-11-14 11:00:00
46;6298;Ossidi di Azoto;µg/m³;529;Cinisello Balsamo;149.0;MI;Cinisello Balsamo;S;24/11/1988;01/01/2017;5044335;517778;45.55232578741208;9.227764233272632;(45.55232578741208, 9.227764233272634);113.1;2016-11-14 11:00:00
9;6300;Ossidi di Azoto;µg/m³;544;Cormano;153.0;MI;Cormano;N;24/10/1994;;5044180;512693;45.55104194437242;9.162613653151322;(45.551041944372415, 9.162613653151322);70.0;2016-11-14 11:00:00
43;6302;Ossidi di Azoto;µg/m³;525;Corsico;119.0;MI;Corsico;S;30/10/1989;01/01/2017;5031403;507619;45.43610851009912;9.097410841871476;(45.43610851009912, 9.097410841871474);134.2;2016-11-14 11:00:00
65;6304;Ossidi di Azoto;µg/m³;532;Cuggiono;156.0;MI;Cuggiono;S;01/01/1990;01/01/2017;5038680;484723;45.5014842949991;8.804453762398397;(45.5014842949991, 8.804453762398397);37.7;2016-11-14 11:00:00
30;6306;Ossidi di Azoto;µg/m³;518;Galliate;153.0;NO;Galliate;S;07/12/1992;01/01/2017;5034980;479423;45.46804407930967;8.73676932023362;(45.46804407930967, 8.73676932023362);20.1;2016-11-14 11:00:00
85;6308;Ossidi di Azoto;µg/m³;540;Garbagnate;175.0;MI;Garbagnate Milanese;S;11/12/1992;01/01/2017;5046467;506105;45.5717162655023;9.078241590568279;(45.5717162655023, 9.07824159056828);69.0;2016-11-14 11:00:00
156;6310;Ossidi di Azoto;µg/m³;510;Inzago;138.0;MI;Inzago;S;16/01/1991;01/01/2018;5043030;538012;45.539768856661;9.486885367436154;(45.539768856661, 9.486885367436152);103.8;2016-11-14 11:00:00
45;6314;Ossidi di Azoto;µg/m³;535;Lacchiarella;97.0;MI;Lacchiarella;S;19/03/1999;01/01/2017;5019010;510542;45.32451741284727;9.134517264199276;(45.32451741284727, 9.134517264199278);23.4;2016-11-14 11:00:00
83;6318;Ossidi di Azoto;µg/m³;505;Legnano;199.0;MI;Legnano;S;10/01/1990;01/01/2017;5049180;493668;45.59613393213292;8.918813993063269;(45.596133932132915, 8.91881399306327);54.9;2016-11-14 11:00:00
133;6320;Ossidi di Azoto;µg/m³;539;Milano - viale Liguria;115.0;MI;Milano;N;24/10/1991;;5032273;513134;45.44385765356493;9.167944501742676;(45.443857653564926, 9.167944501742676);110.1;2016-11-14 11:00:00
44;6322;Ossidi di Azoto;µg/m³;541;Limbiate;181.0;MB;Limbiate;S;24/11/1994;01/01/2017;5049330;509823;45.59744349823031;9.125948942472386;(45.597443498230305, 9.125948942472387);131.9;2016-11-14 11:00:00
55;6324;Ossidi di Azoto;µg/m³;531;Limito;114.0;MI;Pioltello;N;12/05/1989;;5036730;525583;45.48363035323249;9.327360033215145;(45.48363035323249, 9.327360033215145);75.8;2016-11-14 11:00:00
149;6326;Ossidi di Azoto;µg/m³;546;Magenta;137.0;MI;Magenta;N;22/04/1995;;5034328;490635;45.462415791106615;8.88021043312557;(45.462415791106615, 8.880210433125571);65.6;2016-11-14 11:00:00
87;6328;Ossidi di Azoto;µg/m³;501;Milano - viale Marche;129.0;MI;Milano;N;18/09/1980;;5038105;514918;45.496316443651025;9.190933555313624;(45.49631644365102, 9.190933555313624);191.0;2016-11-14 11:00:00
12;6330;Ossidi di Azoto;µg/m³;542;Meda;222.0;MB;Meda;N;01/11/1995;;5056480;512203;45.66176219189168;9.156643984551595;(45.66176219189168, 9.156643984551597);275.8;2016-11-14 11:00:00
29;6338;Ossidi di Azoto;µg/m³;545;Motta Visconti (aria);100.0;MI;Motta Visconti;N;17/03/1998;;5014273;499103;45.28195619742785;8.988562726793257;(45.281956197427846, 8.988562726793255);36.7;2016-11-14 11:00:00
54;6340;Ossidi di Azoto;µg/m³;547;Milano - Parco Lambro;123.0;MI;Milano;S;21/04/1995;01/01/2017;5038480;519323;45.499583690483405;9.247326889507654;(45.499583690483405, 9.247326889507654);71.0;2016-11-14 11:00:00
21;6344;Ossidi di Azoto;µg/m³;549;Milano - P.zza Abbiategrasso;111.0;MI;Milano;S;20/05/1995;01/01/2017;5030980;514247;45.43219730573306;9.182138919080943;(45.432197305733055, 9.182138919080943);40.9;2016-11-14 11:00:00
18;6346;Ossidi di Azoto;µg/m³;514;Rho - via Statuto;152.0;MI;Rho;N;03/10/1991;;5041100;503483;45.523425662003476;9.044599871111004;(45.523425662003476, 9.044599871111005);84.8;2016-11-14 11:00:00
91;6348;Ossidi di Azoto;µg/m³;509;Rivolta d` Adda - via Beccaria;101.0;CR;Rivolta d'Adda;S;12/01/1991;01/01/2018;5035130;539972;45.46855301694732;9.511345333837518;(45.46855301694732, 9.511345333837518);54.1;2016-11-14 11:00:00
69;6350;Ossidi di Azoto;µg/m³;516;Robecchetto;135.0;MI;Robecchetto con Induno;S;07/12/1992;01/01/2017;5040503;481768;45.51782219008839;8.766562109244964;(45.51782219008838, 8.766562109244964);30.5;2016-11-14 11:00:00
146;6354;Ossidi di Azoto;µg/m³;548;Milano - via Senato;118.0;MI;Milano;N;21/04/1995;;5035238;515435;45.470499014097;9.197460360112533;(45.470499014097, 9.197460360112531);130.8;2016-11-14 11:00:00
36;6356;Ossidi di Azoto;µg/m³;504;Sesto S.Giovanni;139.0;MI;Sesto San Giovanni;N;18/12/1980;;5042386;518435;45.53476576509224;9.236107923411636;(45.53476576509224, 9.236107923411636);49.4;2016-11-14 11:00:00
66;6360;Ossidi di Azoto;µg/m³;513;Trezzo d`Adda;199.0;MI;Trezzo sull'Adda;S;22/02/2001;01/01/2017;5051253;539618;45.61369175877737;9.50812248390592;(45.61369175877737, 9.50812248390592);155.2;2016-11-14 11:00:00
15;6364;Ossidi di Azoto;µg/m³;517;Turbigo;141.0;MI;Turbigo;N;11/01/1990;;5041480;479423;45.52655086994246;8.736496578379215;(45.52655086994247, 8.736496578379215);24.9;2016-11-14 11:00:00
74;6366;Ossidi di Azoto;µg/m³;528;Milano - Verziere;116.0;MI;Milano;N;24/11/1988;;5034443;515270;45.46334674066655;9.195324807668856;(45.463346740666545, 9.195324807668857);96.4;2016-11-14 11:00:00
95;6372;Ossidi di Azoto;µg/m³;503;Milano - P.zza  Zavattari;122.0;MI;Milano;S;18/09/1980;01/01/2017;5035847;511082;45.476063405097904;9.141786267186658;(45.47606340509791, 9.141786267186658);91.4;2016-11-14 11:00:00
27;6374;Ossidi di Azoto;µg/m³;571;Bormio;1225.0;SO;Bormio;N;01/11/1993;;5147136;605598;46.469523971325856;10.375432759159036;(46.46952397132585, 10.375432759159036);102.2;2016-11-14 11:00:00
79;6376;Ossidi di Azoto;µg/m³;567;Chiavenna;333.0;SO;Chiavenna;S;30/10/1993;01/01/2017;5129768;530454;46.320803497826546;9.395590913257395;(46.320803497826546, 9.395590913257395);56.4;2016-11-14 11:00:00
119;6380;Ossidi di Azoto;µg/m³;572;Morbegno - via Cortivacci;262.0;SO;Morbegno;N;13/01/1999;;5108901;543736;46.132282960003735;9.566179893984476;(46.132282960003735, 9.566179893984474);80.0;2016-11-14 11:00:00
82;6382;Ossidi di Azoto;µg/m³;569;Sondrio - via Mazzini;307.0;SO;Sondrio;N;01/11/1993;;5113078;567173;46.16796681227828;9.87014407497457;(46.16796681227828, 9.87014407497457);44.1;2016-11-14 11:00:00
42;6384;Ossidi di Azoto;µg/m³;570;Tirano - viale Italia;439.0;SO;Tirano;S;01/11/1993;01/01/2017;5118891;589196;46.21774621439411;10.156470232146322;(46.21774621439411, 10.156470232146322);188.7;2016-11-14 11:00:00
