;IdSensore;NomeTipoSensore;UnitaMisura;Idstazione;NomeStazione;Quota;Provincia;Comune;Storico;DataStart;DataStop;Utm_Nord;UTM_Est;lat;lng;location;Valore;DATE_TIME
33;6386;Ossidi di Azoto;µg/m³;558;Busto Arsizio - Accam;206.0;VA;Busto Arsizio;N;06/12/1998;;5047718;487088;45.58288342614757;8.834487189583363;(45.58288342614757, 8.834487189583362);63.0;2016-11-14 11:00:00
129;6388;Ossidi di Azoto;µg/m³;555;Busto Arsizio - via Magenta;222.0;VA;Busto Arsizio;S;25/05/1991;01/01/2017;5050810;488313;45.610736040012604;8.850115752092071;(45.610736040012604, 8.850115752092071);40.4;2016-11-14 11:00:00
4;6390;Ossidi di Azoto;µg/m³;556;Gallarate - P.zza S.Lorenzo;240.0;VA;Gallarate;S;26/06/1991;01/01/2017;5056010;484229;45.657459825030365;8.797570832831468;(45.65745982503037, 8.797570832831466);74.3;2016-11-14 11:00:00
71;6392;Ossidi di Azoto;µg/m³;557;Lonate Pozzolo;204.0;VA;Lonate Pozzolo;S;05/12/1996;01/01/2017;5048975;479783;45.594023517108575;8.7407965765392;(45.59402351710858, 8.7407965765392);80.7;2016-11-14 11:00:00
77;6394;Ossidi di Azoto;µg/m³;559;Somma Lombardo - MXP;210.0;VA;Somma Lombardo;S;21/03/2000;01/01/2017;5055150;477613;45.649537127292405;8.712691458284791;(45.649537127292405, 8.71269145828479);116.4;2016-11-14 11:00:00
7;6398;Ossidi di Azoto;µg/m³;554;Saronno - via Santuario;212.0;VA;Saronno;N;28/03/1997;;5052520;503123;45.62621896083601;9.040063090678212;(45.626218960836006, 9.04006309067821);80.7;2016-11-14 11:00:00
80;6400;Ossidi di Azoto;µg/m³;560;Varese - via Copelli;383.0;VA;Varese;N;07/08/2003;;5073728;486035;45.81697323326368;8.820240707158211;(45.816973233263674, 8.820240707158211);127.8;2016-11-14 11:00:00
38;6408;Ossidi di Azoto;µg/m³;626;Corte de Cortesi;57.0;CR;Corte de' Cortesi con Cignone;N;01/01/2002;;5014380;578919;45.27848755478839;10.006202391204337;(45.27848755478839, 10.006202391204335);39.7;2016-11-14 11:00:00
89;6412;Ossidi di Azoto;µg/m³;627;Cremona - p.zza Cadorna;39.0;CR;Cremona;N;01/01/2002;;4998110;579872;45.131946912851724;10.015741513336044;(45.13194691285173, 10.015741513336042);44.5;2016-11-14 11:00:00
158;6419;Ossidi di Azoto;µg/m³;629;Crema - via XI febbraio;79.0;CR;Crema;N;01/01/2002;;5023885;555127;45.36630907819434;9.703945513613167;(45.366309078194334, 9.703945513613167);40.1;2016-11-14 11:00:00
103;6426;Ossidi di Azoto;µg/m³;631;Piadena;30.0;CR;Piadena;S;16/02/2002;01/01/2017;4998295;608506;45.12979322367743;10.37983166852242;(45.12979322367744, 10.379831668522419);21.6;2016-11-14 11:00:00
5;6428;Ossidi di Azoto;µg/m³;633;Soresina;70.0;CR;Soresina;N;01/01/2002;;5014860;567712;45.28397715446764;9.863398419993636;(45.28397715446764, 9.863398419993635);35.0;2016-11-14 11:00:00
47;6690;Ossidi di Azoto;µg/m³;642;Pavia - via Folperti;77.0;PV;Pavia;N;01/06/2002;;5004590;512932;45.19467609907785;9.164638300630086;(45.19467609907785, 9.164638300630086);59.9;2016-11-14 11:00:00
41;6706;Ossidi di Azoto;µg/m³;643;Pavia - p.zza Minerva;77.0;PV;Pavia;N;03/03/2002;;5003660;511522;45.18632908049482;9.146666041286784;(45.18632908049483, 9.146666041286784);31.4;2016-11-14 11:00:00
32;6748;Ossidi di Azoto;µg/m³;647;Breno;342.0;BS;Breno;S;09/06/1992;01/01/2017;5090074;600822;45.95683053299846;10.301058339435233;(45.956830532998445, 10.301058339435231);78.7;2016-11-14 11:00:00
63;6784;Ossidi di Azoto;µg/m³;652;Brescia - via Turati;154.0;BS;Brescia;N;01/10/1999;;5043626;596168;45.539529434955995;10.231785907477224;(45.539529434955995, 10.231785907477223);343.0;2016-11-14 11:00:00
141;6790;Ossidi di Azoto;µg/m³;653;Brescia - via Ziziola;125.0;BS;Brescia;S;15/10/1997;01/01/2017;5040836;595170;45.51455919056731;10.218463502801264;(45.51455919056731, 10.218463502801265);125.6;2016-11-14 11:00:00
49;6803;Ossidi di Azoto;µg/m³;654;Sarezzo - via Minelli;269.0;BS;Sarezzo;N;01/01/1990;;5055826;593900;45.64962671224069;10.205090218837002;(45.64962671224069, 10.205090218837002);80.3;2016-11-14 11:00:00
127;6817;Ossidi di Azoto;µg/m³;656;Gambara;47.0;BS;Gambara;N;01/01/1990;;5011493;601945;45.249543624746245;10.299119496064078;(45.24954362474624, 10.299119496064078);21.4;2016-11-14 11:00:00
17;6831;Ossidi di Azoto;µg/m³;657;Lonato;180.0;BS;Lonato del Garda;N;01/01/1990;;5035536;615762;45.46375313621026;10.480772043571283;(45.463753136210265, 10.480772043571283);62.0;2016-11-14 11:00:00
31;6845;Ossidi di Azoto;µg/m³;659;Odolo;349.0;BS;Odolo;N;08/10/1990;;5055661;608260;45.646049633725255;10.389295302791961;(45.64604963372525, 10.38929530279196);90.6;2016-11-14 11:00:00
139;6856;Ossidi di Azoto;µg/m³;660;Ospitaletto;155.0;BS;Ospitaletto;S;01/01/1990;01/01/2017;5044985;584681;45.55325139975436;10.084916143968398;(45.55325139975436, 10.084916143968398);126.7;2016-11-14 11:00:00
62;6864;Ossidi di Azoto;µg/m³;661;Rezzato;147.0;BS;Rezzato;N;05/08/1992;;5041110;604367;45.515708294844586;10.336240422996532;(45.51570829484459, 10.336240422996532);243.1;2016-11-14 11:00:00
122;9804;Ossidi di Azoto;µg/m³;670;Mantova - S.Agnese;22.0;MN;Mantova;N;23/04/2006;;5002356;641122;45.16056833010576;10.795564113707881;(45.16056833010576, 10.79556411370788);37.6;2016-11-14 11:00:00
75;9807;Ossidi di Azoto;µg/m³;671;Mantova - Tridolino;22.0;MN;Mantova;S;23/04/2006;01/01/2017;5001664;646147;45.15331958578557;10.859263911962307;(45.153319585785574, 10.859263911962309);32.9;2016-11-14 11:00:00
70;9855;Ossidi di Azoto;µg/m³;672;Cornale (Voghera Energia);74.0;PV;Cornale;N;29/07/2005;;4987406;493238;45.040076572029626;8.914144599002407;(45.04007657202963, 8.914144599002409);14.6;2016-11-14 11:00:00
131;9860;Ossidi di Azoto;µg/m³;673;Voghera - via Pozzoni;90.0;PV;Voghera;N;28/07/2005;;4982900;500665;44.99954598914025;9.008437381815693;(44.99954598914026, 9.008437381815693);15.0;2016-11-14 11:00:00
53;9875;Ossidi di Azoto;µg/m³;674;Monza - via Machiavelli;162.0;MB;Monza;N;21/10/2005;;5047450;521343;45.580263484422424;9.273573092713274;(45.58026348442243, 9.273573092713274);147.7;2016-11-14 11:00:00
114;9896;Ossidi di Azoto;µg/m³;609;Casirate d`Adda;108.0;BG;Casirate d'Adda;N;10/11/2005;;5038450;543458;45.498227133944944;9.55623226235176;(45.49822713394494, 9.556232262351761);43.3;2016-11-14 11:00:00
99;9916;Ossidi di Azoto;µg/m³;668;Mantova - Lunetta 2;25.0;MN;Mantova;S;04/08/2004;01/01/2017;5002119;643358;45.15798527818925;10.823931433968092;(45.157985278189244, 10.823931433968092);27.9;2016-11-14 11:00:00
137;9917;Ossidi di Azoto;µg/m³;663;Mantova - via Ariosto;18.0;MN;Mantova;N;05/06/2004;;5000669;641770;45.145260125788965;10.80332595007927;(45.14526012578896, 10.80332595007927);43.6;2016-11-14 11:00:00
20;9918;Ossidi di Azoto;µg/m³;664;Mantova - p.zza Gramsci;18.0;MN;Mantova;N;08/06/2004;;5001351;640031;45.151743379576594;10.78140770009565;(45.151743379576594, 10.78140770009565);43.2;2016-11-14 11:00:00
140;9919;Ossidi di Azoto;µg/m³;666;Porto Mantovano;29.0;MN;Porto Mantovano;S;05/06/2004;01/01/2017;5006244;641169;45.19554009017032;10.79726229869026;(45.19554009017032, 10.79726229869026);20.0;2016-11-14 11:00:00
136;9920;Ossidi di Azoto;µg/m³;665;Viadana;37.0;MN;Viadana;N;15/06/2004;;4975705;619759;44.92469404955067;10.517502067117825;(44.92469404955067, 10.517502067117825);26.7;2016-11-14 11:00:00
148;9921;Ossidi di Azoto;µg/m³;667;Marmirolo - Bosco Fontana;22.0;MN;Marmirolo;S;05/06/2004;01/01/2017;5007554;636848;45.20817903938493;10.74263625117323;(45.20817903938493, 10.74263625117323);20.1;2016-11-14 11:00:00
72;9930;Ossidi di Azoto;µg/m³;677;Cremona - Via Fatebenefratelli;43.0;CR;Cremona;N;11/04/2006;;4999315;582066;45.14254063221695;10.043836158369393;(45.14254063221695, 10.043836158369393);51.6;2016-11-14 11:00:00
76;9968;Ossidi di Azoto;µg/m³;679;Valmadrera;247.0;LC;Valmadrera;N;16/02/2006;;5076576;527307;45.84220726102254;9.351658166127956;(45.842207261022544, 9.351658166127958);51.9;2016-11-14 11:00:00
97;9996;Ossidi di Azoto;µg/m³;682;Ferrera Erbognone - ENI;88.0;PV;Ferrera Erbognone;N;21/01/2006;;4995567;490094;45.11350314482957;8.874064848882607;(45.11350314482957, 8.874064848882607);21.8;2016-11-14 11:00:00
2;10001;Ossidi di Azoto;µg/m³;683;Cassano d'Adda 2 - Via Milano;133.0;MI;Cassano d'Adda;N;17/02/2006;;5041567;540293;45.52647254585104;9.515980483627095;(45.52647254585104, 9.515980483627096);120.4;2016-11-14 11:00:00
142;10017;Ossidi di Azoto;µg/m³;685;Calusco d' Adda;273.0;BG;Calusco d'Adda;N;30/06/2006;;5059767;537706;45.690429078545144;9.484260927647787;(45.69042907854514, 9.484260927647789);54.9;2016-11-14 11:00:00
35;10037;Ossidi di Azoto;µg/m³;687;Ferno;215.0;VA;Ferno;N;06/11/2006;;5051773;481053;45.61924377994763;8.756970445453431;(45.61924377994763, 8.756970445453431);60.1;2016-11-14 11:00:00
104;10073;Ossidi di Azoto;µg/m³;694;Salionze;109.0;VR;Salionze;S;01/12/2006;01/01/2017;5029205;635124;45.40331375821289;10.726597970779391;(45.40331375821289, 10.72659797077939);22.0;2016-11-14 11:00:00
147;10078;Ossidi di Azoto;µg/m³;695;Ponti sul Mincio;113.0;MN;Ponti sul Mincio;N;20/12/2006;;5030184;631718;45.412771691686345;10.683357343786836;(45.41277169168634, 10.683357343786835);22.1;2016-11-14 11:00:00
34;10086;Ossidi di Azoto;µg/m³;696;Monzambano - campo sportivo;88.0;MN;Monzambano;S;01/12/2006;01/01/2017;5027572;632338;45.38915354023782;10.690576265072083;(45.38915354023782, 10.690576265072083);16.5;2016-11-14 11:00:00
112;10095;Ossidi di Azoto;µg/m³;697;Borgofranco - loc. Bonizzo;14.0;MN;Borgofranco sul Po;N;29/11/2006;;4990430;671752;45.046501538167355;11.18093581912755;(45.04650153816735, 11.18093581912755);20.3;2016-11-14 11:00:00
160;10117;Ossidi di Azoto;µg/m³;699;Magnacavallo;11.0;MN;Magnacavallo;S;29/11/2006;;4985830;671675;45.00514152134826;11.178388087213916;(45.00514152134826, 11.178388087213916);28.4;2016-11-14 11:00:00
163;10129;Ossidi di Azoto;µg/m³;700;Melara;12.0;RO;Melara;S;29/11/2006;;4992347;673928;45.06321436161329;11.20921074969938;(45.063214361613305, 11.20921074969938);15.9;2016-11-14 11:00:00
118;10141;Ossidi di Azoto;µg/m³;701;Ostiglia - via Colombo;14.0;MN;Ostiglia;S;29/11/2006;01/01/2017;4993316;668216;45.073311155731965;11.137034007299842;(45.073311155731965, 11.137034007299844);22.8;2016-11-14 11:00:00
159;10153;Ossidi di Azoto;µg/m³;702;Pieve di Coriano;16.0;MN;Pieve di Coriano;S;29/11/2006;;4988901;666747;45.033942814184634;11.116918109540055;(45.03394281418463, 11.116918109540054);18.8;2016-11-14 11:00:00
48;10165;Ossidi di Azoto;µg/m³;703;Schivenoglia;;MN;Schivenoglia;N;29/11/2006;;4986922;663580;45.01687782075543;11.07609463264049;(45.016877820755425, 11.07609463264049);23.1;2016-11-14 11:00:00
143;10177;Ossidi di Azoto;µg/m³;704;Sermide - via Dalla Chiesa;11.0;MN;Sermide;S;29/11/2006;01/01/2017;4986023;680789;45.0046137311141;11.294014707706845;(45.004613731114105, 11.294014707706845);23.5;2016-11-14 11:00:00
138;10274;Ossidi di Azoto;µg/m³;681;Moggio;1194.0;LC;Moggio;N;17/03/2007;;5084478;538586;45.91278752030293;9.497538167653424;(45.91278752030292, 9.497538167653424);10.7;2016-11-14 11:00:00
61;10278;Ossidi di Azoto;µg/m³;705;Milano - Pascal Città Studi;122.0;MI;Milano;N;16/06/2007;;5036190;518405;45.47899606168744;9.235491038497502;(45.47899606168744, 9.235491038497502);55.6;2016-11-14 11:00:00
92;10285;Ossidi di Azoto;µg/m³;706;Lecco - Via Sora;272.0;LC;Lecco;N;28/06/2007;;5078987;531045;45.86374884127965;9.399950344681852;(45.86374884127965, 9.399950344681852);88.1;2016-11-14 11:00:00
86;10323;Ossidi di Azoto;µg/m³;707;Mortara;108.0;PV;Mortara;S;04/10/2007;01/01/2017;5011280;479925;45.25472872078882;8.74415437971093;(45.254728720788826, 8.74415437971093);26.3;2016-11-14 11:00:00
93;10329;Ossidi di Azoto;µg/m³;708;Parona;112.0;PV;Parona;N;01/10/2007;;5014300;480733;45.281935610357905;8.754334594539825;(45.281935610357905, 8.754334594539825);32.1;2016-11-14 11:00:00
135;10333;Ossidi di Azoto;µg/m³;709;Vigevano - via Valletta;109.0;PV;Vigevano;N;08/08/2007;;5016690;487833;45.303607869655714;8.844804609965438;(45.303607869655714, 8.844804609965438);21.1;2016-11-14 11:00:00
130;10406;Ossidi di Azoto;µg/m³;1263;Villa di Serio;280.0;BG;Villa di Serio;S;08/10/2008;01/01/2017;5064969;557447;45.73589144532835;9.738394788043443;(45.73589144532835, 9.738394788043442);55.1;2016-11-14 11:00:00
157;10431;Ossidi di Azoto;µg/m³;1264;Sondrio - via Paribelli;290.0;SO;Sondrio;N;11/11/2008;;5113073;567873;46.16785244066512;9.879209924469905;(46.167852440665115, 9.879209924469903);51.6;2016-11-14 11:00:00
1;10451;Ossidi di Azoto;µg/m³;1265;Lodi - S. Alberto;76.0;LO;Lodi;N;03/08/2009;;5016706;538829;45.30278350309578;9.495273696926324;(45.302783503095775, 9.495273696926324);39.9;2016-11-14 11:00:00
106;10457;Ossidi di Azoto;µg/m³;1266;Bertonico;65.0;LO;Bertonico;N;03/08/2009;;5009105;552297;45.23349364130374;9.666250375296034;(45.23349364130374, 9.666250375296032);29.5;2016-11-14 11:00:00
111;10473;Ossidi di Azoto;µg/m³;1267;Turano;65.0;LO;Turano Lodigiano;S;03/08/2009;31/03/2017;5010942;548751;45.25028308918456;9.62125819274314;(45.25028308918456, 9.62125819274314);78.0;2016-11-14 11:00:00
0;10505;Ossidi di Azoto;µg/m³;1269;Dalmine - via Verdi;207.0;BG;Dalmine;N;12/02/2010;;5055304;546847;45.649702512362474;9.601223338785262;(45.64970251236247, 9.601223338785262);40.7;2016-11-14 11:00:00
51;10583;Ossidi di Azoto;µg/m³;1274;Perledo;212.0;LC;Perledo;N;01/09/2010;;5095846;522171;46.01582830438375;9.286409208680807;(46.01582830438376, 9.286409208680807);55.9;2016-11-14 11:00:00
10;12016;Ossidi di Azoto;µg/m³;1297;Spinadesco;48.0;CR;Spinadesco;N;08/02/2011;;5000087;573153;45.15046886985682;9.930596472272326;(45.150468869856816, 9.930596472272326);18.2;2016-11-14 11:00:00
98;12587;Ossidi di Azoto;µg/m³;1303;Cremona - via Gerre Borghi;36.0;CR;Cremona;S;14/10/2011;01/01/2017;4995675;584111;45.10953938027215;10.069230734956498;(45.10953938027215, 10.069230734956498);24.3;2016-11-14 11:00:00
115;17285;Ossidi di Azoto;µg/m³;1374;Monza Parco;181.0;MB;Monza;N;01/05/2013;;5049780;521452;45.60123219955139;9.27507265782848;(45.60123219955139, 9.27507265782848);210.9;2016-11-14 11:00:00
26;30159;Ossidi di Azoto;µg/m³;655;Darfo (aria);221.0;BS;Darfo Boario Terme;N;23/01/2013;;5080789;591371;45.87460210989037;10.177356808981381;(45.87460210989037, 10.17735680898138);126.0;2016-11-14 11:00:00
